HourDK,SE3,SE4
2011-11-01 00:00:00,37.52,37.52
2011-11-01 01:00:00,37.099998,37.099998
2011-11-01 02:00:00,34.959999,34.959999
2011-11-01 03:00:00,32.360001,32.360001
2011-11-01 04:00:00,34.419998,34.419998
2011-11-01 05:00:00,37.060001,37.060001
2011-11-01 06:00:00,41.18,41.18
2011-11-01 07:00:00,44.860001,44.860001
2011-11-01 08:00:00,44.91,44.91
2011-11-01 09:00:00,46.049999,46.049999
2011-11-01 10:00:00,45.34,45.91
2011-11-01 11:00:00,45.700001,45.700001
2011-11-01 12:00:00,45.41,45.41
2011-11-01 13:00:00,44.0,44.0
2011-11-01 14:00:00,43.110001,43.110001
2011-11-01 15:00:00,42.799999,42.799999
2011-11-01 16:00:00,45.779999,45.779999
2011-11-01 17:00:00,49.040001,57.439999
2011-11-01 18:00:00,46.709999,59.66
2011-11-01 19:00:00,45.73,59.610001
2011-11-01 20:00:00,42.150002,50.75
2011-11-01 21:00:00,41.16,42.0
2011-11-01 22:00:00,39.029999,39.029999
2011-11-01 23:00:00,37.189999,37.189999
2011-11-02 00:00:00,35.57,35.57
2011-11-02 01:00:00,34.279999,34.279999
2011-11-02 02:00:00,34.84,34.84
2011-11-02 03:00:00,35.0,35.0
2011-11-02 04:00:00,36.810001,36.810001
2011-11-02 05:00:00,38.369999,38.369999
2011-11-02 06:00:00,43.43,45.299999
2011-11-02 07:00:00,49.59,57.73
2011-11-02 08:00:00,46.0,48.91
2011-11-02 09:00:00,43.349998,66.900002
2011-11-02 10:00:00,42.810001,66.199997
2011-11-02 11:00:00,44.110001,56.900002
2011-11-02 12:00:00,45.939999,56.630001
2011-11-02 13:00:00,45.380001,64.800003
2011-11-02 14:00:00,45.98,51.540001
2011-11-02 15:00:00,46.310001,48.98
2011-11-02 16:00:00,47.970001,68.949997
2011-11-02 17:00:00,57.740002,81.300003
2011-11-02 18:00:00,49.84,85.0
2011-11-02 19:00:00,43.900002,71.699997
2011-11-02 20:00:00,42.0,54.740002
2011-11-02 21:00:00,42.040001,43.349998
2011-11-02 22:00:00,39.310001,39.310001
2011-11-02 23:00:00,37.700001,37.700001
2011-11-03 00:00:00,36.169998,36.169998
2011-11-03 01:00:00,35.150002,35.150002
2011-11-03 02:00:00,35.029999,35.029999
2011-11-03 03:00:00,35.209999,35.209999
2011-11-03 04:00:00,36.259998,36.259998
2011-11-03 05:00:00,37.919998,37.919998
2011-11-03 06:00:00,42.5,42.5
2011-11-03 07:00:00,45.380001,45.380001
2011-11-03 08:00:00,45.380001,45.380001
2011-11-03 09:00:00,45.080002,45.599998
2011-11-03 10:00:00,44.040001,45.209999
2011-11-03 11:00:00,45.080002,45.150002
2011-11-03 12:00:00,45.07,45.07
2011-11-03 13:00:00,45.080002,45.080002
2011-11-03 14:00:00,45.130001,45.130001
2011-11-03 15:00:00,45.32,45.32
2011-11-03 16:00:00,47.599998,47.599998
2011-11-03 17:00:00,52.950001,69.43
2011-11-03 18:00:00,47.02,60.040001
2011-11-03 19:00:00,44.970001,46.73
2011-11-03 20:00:00,42.23,42.23
2011-11-03 21:00:00,39.23,39.23
2011-11-03 22:00:00,38.650002,38.650002
2011-11-03 23:00:00,36.919998,36.919998
2011-11-04 00:00:00,36.240002,36.240002
2011-11-04 01:00:00,34.529999,34.529999
2011-11-04 02:00:00,33.84,33.84
2011-11-04 03:00:00,34.209999,34.209999
2011-11-04 04:00:00,35.720001,35.720001
2011-11-04 05:00:00,37.68,37.68
2011-11-04 06:00:00,41.119999,41.119999
2011-11-04 07:00:00,41.509998,41.509998
2011-11-04 08:00:00,42.549999,42.549999
2011-11-04 09:00:00,42.900002,42.900002
2011-11-04 10:00:00,42.25,42.25
2011-11-04 11:00:00,42.240002,42.240002
2011-11-04 12:00:00,42.259998,42.259998
2011-11-04 13:00:00,41.709999,41.709999
2011-11-04 14:00:00,40.119999,40.119999
2011-11-04 15:00:00,40.549999,40.549999
2011-11-04 16:00:00,42.779999,42.779999
2011-11-04 17:00:00,51.25,51.25
2011-11-04 18:00:00,48.400002,48.400002
2011-11-04 19:00:00,44.66,44.66
2011-11-04 20:00:00,40.310001,40.310001
2011-11-04 21:00:00,47.599998,47.599998
2011-11-04 22:00:00,38.310001,38.310001
2011-11-04 23:00:00,37.349998,37.349998
2011-11-05 00:00:00,38.849998,38.849998
2011-11-05 01:00:00,38.02,38.02
2011-11-05 02:00:00,38.0,38.0
2011-11-05 03:00:00,38.48,38.48
2011-11-05 04:00:00,37.580002,37.580002
2011-11-05 05:00:00,38.119999,38.119999
2011-11-05 06:00:00,40.0,40.0
2011-11-05 07:00:00,40.369999,41.369999
2011-11-05 08:00:00,40.810001,46.310001
2011-11-05 09:00:00,40.869999,47.209999
2011-11-05 10:00:00,40.959999,47.91
2011-11-05 11:00:00,40.91,49.0
2011-11-05 12:00:00,40.82,49.299999
2011-11-05 13:00:00,40.400002,46.099998
2011-11-05 14:00:00,40.25,44.0
2011-11-05 15:00:00,41.09,44.099998
2011-11-05 16:00:00,44.959999,48.209999
2011-11-05 17:00:00,64.0,64.0
2011-11-05 18:00:00,58.060001,71.300003
2011-11-05 19:00:00,45.740002,66.199997
2011-11-05 20:00:00,41.84,49.200001
2011-11-05 21:00:00,41.84,46.009998
2011-11-05 22:00:00,40.700001,45.110001
2011-11-05 23:00:00,39.25,39.25
2011-11-06 00:00:00,39.07,39.07
2011-11-06 01:00:00,38.169998,38.169998
2011-11-06 02:00:00,37.810001,37.810001
2011-11-06 03:00:00,37.34,37.34
2011-11-06 04:00:00,37.349998,37.349998
